,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
56,U001,200769623,WAL-MAR us,29:34.7,2020,1930715979,01-04-2020,16-04-2020,01-04-2020,NAH4,8299.7,0-15
57,U001,200799367,MCL corporation,42:21.5,2020,1930673430,24-03-2020,08-04-2020,24-03-2020,NAA8,51602.13,0-15
58,U001,200759878,SA co,11:31.8,2020,1930783249,14-04-2020,29-04-2020,14-04-2020,NAH4,18900.99,0-15
59,U001,200794332,COST corp,47:07.8,2020,1930638145,14-03-2020,29-03-2020,14-03-2020,NAAX,49467.7,Less than 0
60,U001,200515231,US  us,20:49.9,2020,1930768145,09-04-2020,24-04-2020,09-04-2020,NAA8,10187.66,0-15
61,U001,200782669,SYGMA corp,39:36.1,2020,1930636977,13-03-2020,28-03-2020,13-03-2020,NAA8,237.4,0-15
62,U001,200769623,WAL-MAR foundation,53:30.1,2020,1930882979,12-05-2020,27-05-2020,12-05-2020,NAH4,11532.84,0-15
63,U001,200769623,WAL-MAR ,52:43.4,2020,1930692833,24-03-2020,08-04-2020,24-03-2020,NAH4,20017.92,0-15
64,U001,200331749,SYSC foundation,33:45.4,2020,1930579080,28-02-2020,14-03-2020,28-02-2020,NAA8,5320.85,0-15
65,U001,200772670,ASSOCIAT associates,38:06.9,2020,1930819529,23-04-2020,08-05-2020,23-04-2020,NAU5,30900.83,0-15
66,U001,200772670,ASSOCIAT us,59:18.2,2020,1930736164,02-04-2020,17-04-2020,02-04-2020,NAU5,65843.26,0-15
67,U001,200706844,WINC foundation,12:41.7,2020,1930599854,04-03-2020,19-03-2020,04-03-2020,NAA8,359.44,16-30
68,U001,100043975,JAVA ,34:18.3,2020,1930740345,03-04-2020,18-04-2020,03-04-2020,NAA8,1427.36,Less than 0
69,U001,200762301,C&S WH in,18:27.6,2020,1930592552,04-03-2020,19-03-2020,04-03-2020,NAC6,99091.71,0-15
70,U001,200148860,DOLLA associates,22:17.1,2020,1930732920,03-04-2020,07-06-2020,03-04-2020,NAGD,6543.44,Less than 0
71,CA02,100027744,OMEGA AD in,44:46.1,2020,2960635652,19-05-2020,19-05-2020,19-05-2020,CAB1,4924.5,0-15
72,U001,100031704,DELHAIZE co,35:11.1,2020,1930585468,01-03-2020,16-03-2020,01-03-2020,NAA8,106394.18,0-15
73,U001,200799420,HT HA foundation,53:09.7,2020,1930703225,25-03-2020,09-04-2020,25-03-2020,NAA8,801.1,0-15
74,U001,200974851,RESTA systems,09:31.4,2020,1930706997,26-03-2020,10-04-2020,26-03-2020,NAA8,3566.69,0-15
75,U001,200769623,WAL-MAR in,28:59.6,2020,1930830709,28-04-2020,13-05-2020,28-04-2020,NAH4,8885.57,0-15
76,U001,200793568,SUPE llc,14:57.2,2020,1930630388,10-03-2020,25-03-2020,10-03-2020,NAA8,15893.27,0-15
77,U001,200759878,SA foundation,26:58.2,2020,1930609945,06-03-2020,21-03-2020,06-03-2020,NAH4,70180.8,0-15
78,U001,200712187,SPAR in,16:33.3,2020,1930806222,20-04-2020,05-05-2020,20-04-2020,NAA8,119384.36,0-15
79,U001,100047532,KEYSTON associates,09:43.2,2020,1930592834,04-03-2020,19-03-2020,04-03-2020,NAA8,11852.54,16-30
80,U001,200794332,COST co,35:52.2,2020,1930562584,28-02-2020,19-03-2020,28-02-2020,NA84,11225.42,0-15
81,U001,200148860,DOLLA associates,41:48.9,2020,1930699340,25-03-2020,29-05-2020,25-03-2020,NAGD,5456.75,Less than 0
82,U001,200794332,COST llc,29:29.6,2020,1930862420,08-05-2020,23-05-2020,08-05-2020,NAAX,81500.86,Less than 0
83,U001,200555117,BURR trust,45:19.3,2020,1930709963,27-03-2020,11-04-2020,27-03-2020,NAA8,749.14,0-15
84,U001,200769623,WAL-MAR in,32:51.4,2020,1930878284,09-05-2020,24-05-2020,09-05-2020,NAH4,2219.89,0-15
85,U001,200772670,ASSOCIAT corp,29:33.4,2020,1930683241,21-03-2020,05-04-2020,21-03-2020,NAU5,15489.78,0-15
86,U001,200707822,PUBLI corporation,56:45.7,2020,1930857983,04-05-2020,19-05-2020,04-05-2020,NAA8,126107.91,0-15
87,CA02,140104392,FLANAG us,08:07.0,2020,2960619205,06-03-2020,20-03-2020,10-03-2020,CA10,2528.673,16-30
88,U001,200769623,WAL-MAR corp,26:55.5,2020,1930831780,28-04-2020,13-05-2020,28-04-2020,NAH4,11545.38,0-15
89,U001,200759878,SA systems,16:53.7,2020,1930717567,31-03-2020,15-04-2020,31-03-2020,NAH4,47646.57,0-15
90,U001,200705742,DOT foundation,28:25.6,2020,1930581678,28-02-2020,14-03-2020,28-02-2020,NAA8,5932.51,Less than 0
91,U001,200793568,SUPE trust,55:36.6,2020,1930690537,23-03-2020,07-04-2020,23-03-2020,NAA8,1635.76,0-15
92,U001,200726979,BJ'S  ,30:41.9,2020,1930646128,12-03-2020,27-03-2020,12-03-2020,NAA8,1286.3,0-15
93,U001,200704858,WAKE corp,26:08.6,2020,1930762384,09-04-2020,24-04-2020,09-04-2020,NAA8,99568.42,0-15
94,U001,200780383,MEIJ in,08:20.6,2020,1930665025,18-03-2020,02-04-2020,18-03-2020,NAA8,3612.63,0-15
95,U001,200762301,C&S WH associates,17:31.1,2020,1930778021,12-04-2020,27-04-2020,12-04-2020,NAC6,102276.04,Less than 0
96,CA02,140106271,LONGO  in,14:41.4,2020,2960626604,03-04-2020,17-04-2020,07-04-2020,CA10,8615.453,0-15
97,CA02,140104423,METRO  us,05:30.6,2020,2960628851,17-04-2020,01-05-2020,21-04-2020,CA10,45059.546,0-15
98,U001,200741174,M B  co,37:18.9,2020,1930657267,16-03-2020,31-03-2020,16-03-2020,NAA8,5767.83,0-15
99,CA02,100030194,AMAZO llc,04:54.3,2020,2960622411,18-03-2020,30-03-2020,20-03-2020,CA10,9851.667,0-15
100,U001,200769623,WAL-MAR trust,51:21.6,2020,1930720012,30-03-2020,14-04-2020,30-03-2020,NAH4,42379.83,0-15
101,U001,200592182,DECA in,01:33.2,2020,1930822583,24-04-2020,09-05-2020,16-04-2020,NAM4,1761.84,Less than 0
102,U001,200743996,STATER  co,45:56.5,2020,1930686889,22-03-2020,06-04-2020,22-03-2020,NAA8,94612.03,0-15
103,U001,200769623,WAL-MAR in,23:49.4,2020,1930787980,15-04-2020,30-04-2020,15-04-2020,NAH4,22226.35,0-15
104,U001,200749782,KROG associates,59:40.0,2020,1930822131,25-04-2020,10-05-2020,25-04-2020,NAA8,88502.01,0-15
105,U001,200744019,TARG corp,10:24.2,2020,1930641073,13-03-2020,17-05-2020,13-03-2020,NAGD,1982.06,0-15
106,U001,200769623,WAL-MAR foundation,00:41.8,2020,1930804577,21-04-2020,06-05-2020,21-04-2020,NAH4,2326.08,0-15
107,U001,200705742,DOT us,49:37.0,2020,1930592413,02-03-2020,17-03-2020,02-03-2020,NAA8,9822.38,0-15
108,U001,200744019,TARG trust,53:08.0,2020,1930857489,05-05-2020,20-05-2020,05-05-2020,NAA8,29592.42,0-15
109,U001,200772670,ASSOCIAT associates,59:12.6,2020,1930739252,03-04-2020,18-04-2020,03-04-2020,NAU5,47903.76,0-15
110,U001,200769623,WAL-MAR corporation,16:19.1,2020,1930692953,24-03-2020,08-04-2020,24-03-2020,NAH4,1898.9,0-15
111,U001,200900909,SYSCO in,14:52.1,2020,1930741081,03-04-2020,18-04-2020,03-04-2020,NAA8,7524.17,0-15
112,U001,200424504,M  in,56:29.3,2020,1930830032,28-04-2020,15-04-2020,15-04-2020,NACG,2428.04,0-15
113,U001,100031704,DELHAIZE trust,09:44.0,2020,1930794735,16-04-2020,20-06-2020,16-04-2020,NAGD,1176.59,Less than 0
114,U001,200764795,SYSCO  us,14:36.9,2020,1930637455,18-03-2020,19-04-2020,18-03-2020,NA32,10978.51,0-15
115,U001,200337148,COAS systems,23:15.4,2020,1930587342,02-03-2020,17-03-2020,02-03-2020,NAA8,45127.79,0-15
116,U001,200416837,DEC llc,55:44.2,2020,1930599382,04-03-2020,24-03-2020,01-03-2020,NAM4,398.16,Less than 0
117,U001,200769623,WAL-MAR llc,23:28.7,2020,1930623646,09-03-2020,24-03-2020,09-03-2020,NAH4,58726.21,0-15
118,U001,200726979,BJ'S  associates,24:32.1,2020,1930645815,12-03-2020,27-03-2020,12-03-2020,NAA8,588.49,0-15
119,U001,200721222,GO us,08:54.9,2020,1930800642,20-04-2020,05-05-2020,20-04-2020,NAA8,25685.07,0-15
120,U001,200772595,SAFEW corporation,37:47.9,2020,1930729101,02-04-2020,17-04-2020,02-04-2020,NAA8,10020.14,0-15
121,U001,200820380,SMITH'S trust,02:26.8,2020,1930716191,30-03-2020,14-04-2020,30-03-2020,NAA8,48022.97,0-15
122,U001,200793568,SUPE corporation,55:37.7,2020,1930779652,14-04-2020,29-04-2020,14-04-2020,NAA8,36623.03,0-15
123,U001,100043975,JAVA co,06:50.7,2020,1930586661,02-03-2020,17-03-2020,02-03-2020,NAA8,7212,0-15
124,U001,200769623,WAL-MAR llc,29:44.3,2020,1930692548,25-03-2020,09-04-2020,25-03-2020,NAH4,15797.23,0-15
125,U001,200769623,WAL-MAR foundation,29:08.0,2020,1930593446,04-03-2020,19-03-2020,04-03-2020,NAH4,14706.98,0-15
126,U001,200729290,KROGER ,35:47.8,2020,1930599215,04-03-2020,19-03-2020,04-03-2020,NAA8,115494.14,0-15
127,U001,200769623,WAL-MAR us,37:33.2,2020,1930827122,27-04-2020,12-05-2020,27-04-2020,NAH4,1898.9,0-15
128,U001,200769623,WAL-MAR us,05:47.4,2020,1930750644,06-04-2020,21-04-2020,06-04-2020,NAH4,37684.36,0-15
129,U001,200705372,FR corporation,28:27.7,2020,1930637990,13-03-2020,28-03-2020,13-03-2020,NAA8,19961.05,0-15
130,U001,200769623,WAL-MAR llc,52:25.4,2020,1930675431,22-03-2020,06-04-2020,22-03-2020,NAH4,11826.09,0-15
131,U001,200742791,QUI in,02:27.6,2020,1930603823,10-03-2020,25-03-2020,10-03-2020,NAA8,24843.48,0-15
132,U001,200743996,STATER  corporation,19:22.0,2020,1930718352,30-03-2020,14-04-2020,30-03-2020,NAA8,32224.05,0-15
133,U001,200769623,WAL-MAR us,25:42.8,2020,1930752522,06-04-2020,21-04-2020,06-04-2020,NAH4,9937.06,0-15
134,U001,200759878,SA corporation,56:01.4,2020,1930752430,08-04-2020,23-04-2020,08-04-2020,NAH4,12417.47,0-15
135,U001,200762301,C&S WH us,37:36.9,2020,1930584581,02-03-2020,17-03-2020,02-03-2020,NAC6,4301.57,0-15
136,U001,200769623,WAL-MAR ,05:25.9,2020,1930885637,12-05-2020,27-05-2020,12-05-2020,NAH4,22549.83,0-15
137,U001,100043936,PAPA JO foundation,29:29.7,2020,1930627707,10-03-2020,20-03-2020,10-03-2020,NA10,18145.19,0-15
138,U001,200744019,TARG co,44:38.9,2020,1930748869,05-04-2020,20-04-2020,05-04-2020,NAA8,97776,0-15
139,U001,200740393,LABAT ,59:19.2,2020,1930585380,03-03-2020,18-03-2020,03-03-2020,NAA8,52645.42,16-30
140,U001,200769623,WAL-MAR systems,56:11.8,2020,1930671465,20-03-2020,04-04-2020,20-03-2020,NAH4,21113.92,0-15
141,U001,200762301,C&S WH co,14:16.6,2020,1930577119,27-02-2020,13-03-2020,27-02-2020,NAC6,137768.6,Less than 0
142,U001,200759878,SA in,20:55.3,2020,1930748365,05-04-2020,20-04-2020,05-04-2020,NAH4,13548.66,0-15
143,U001,200759878,SA corporation,36:42.0,2020,1930825574,27-04-2020,12-05-2020,27-04-2020,NAH4,35898.48,0-15
144,U001,200704858,WAKE llc,32:23.4,2020,1930655118,16-03-2020,31-03-2020,16-03-2020,NAA8,109248.63,0-15
145,U001,200762301,C&S WH foundation,20:41.7,2020,1930654407,16-03-2020,31-03-2020,16-03-2020,NAC6,7465.1,Less than 0
146,U001,200803720,DEC corporation,36:19.3,2020,1930872721,07-05-2020,11-05-2020,01-05-2020,NAM2,4729.18,Less than 0
147,U001,200078795,H T H llc,02:08.3,2020,1930861108,05-05-2020,20-05-2020,05-05-2020,NAA8,1412.26,0-15
148,U001,200519201,KROGE llc,15:47.0,2020,1930709582,28-03-2020,12-04-2020,28-03-2020,NAA8,15477.22,0-15
149,U001,200744019,TARG corp,15:39.6,2020,1930753198,07-04-2020,22-04-2020,07-04-2020,NAA8,19195.56,0-15
150,U001,200786288,FAMILY in,45:17.4,2020,1930759958,08-04-2020,23-04-2020,08-04-2020,NAC6,66230.48,0-15
151,U001,200418007,AM systems,43:28.6,2020,1930732102,02-04-2020,17-04-2020,02-04-2020,NAA8,47393.05,0-15
152,U001,200466603,SMITH'S systems,57:20.5,2020,1930664246,18-03-2020,02-04-2020,18-03-2020,NAA8,142732.08,0-15
153,CA02,140106408,WAL-M associates,30:52.0,2020,2960622798,23-03-2020,02-04-2020,23-03-2020,CA10,5791.485,16-30
154,U001,200762301,C&S WH in,07:25.2,2020,1930721389,01-04-2020,05-06-2020,01-04-2020,NAGD,7943.13,Less than 0
155,U001,200761734,H E BUT associates,42:22.5,2020,1930632938,10-03-2020,25-03-2020,10-03-2020,NAA8,91756.55,0-15
156,U001,200769623,WAL-MAR foundation,17:02.6,2020,1930611981,08-03-2020,23-03-2020,08-03-2020,NAH4,24282.42,0-15
157,U001,200769623,WAL-MAR llc,13:54.4,2020,1930793187,18-04-2020,03-05-2020,18-04-2020,NAH4,10903.6,0-15
158,U001,200769623,WAL-MAR us,23:36.1,2020,1930692727,24-03-2020,08-04-2020,24-03-2020,NAH4,51516.27,16-30
159,U001,200744019,TARG us,32:53.9,2020,1930813045,21-04-2020,06-05-2020,21-04-2020,NAA8,5887.21,0-15
160,U001,200726979,BJ'S  systems,25:33.4,2020,1930643416,12-03-2020,27-03-2020,12-03-2020,NAA8,14149.02,0-15
161,U001,200706844,WINC co,12:15.6,2020,1930760026,31-03-2020,15-04-2020,31-03-2020,NAA8,38905.5,16-30
162,U001,200418007,AM us,38:26.9,2020,1930650673,14-03-2020,18-05-2020,14-03-2020,NAGD,1011.24,0-15
163,U001,200799367,MCL in,29:43.4,2020,1930720975,31-03-2020,15-04-2020,31-03-2020,NAA8,124605.44,0-15
164,U001,200772595,SAFEW corporation,14:03.2,2020,1930705040,25-03-2020,09-04-2020,25-03-2020,NAA8,32039.34,0-15
165,U001,CCU013,KRAFT F in,33:47.5,2020,1930570370,28-02-2020,28-02-2020,28-02-2020,NAX2,37209.64,31-45
166,U001,200726979,BJ'S  in,37:27.1,2020,1930629390,09-03-2020,24-03-2020,09-03-2020,NAA8,467.72,0-15
167,U001,200526831,PERISH associates,14:16.4,2020,1930666168,19-03-2020,03-04-2020,19-03-2020,NAA8,134095.09,0-15
168,U001,200769623,WAL-MAR llc,55:53.6,2020,1930845835,02-05-2020,17-05-2020,02-05-2020,NAH4,292.94,0-15
169,U001,100031704,DELHAIZE corp,51:28.3,2020,1930844129,30-04-2020,15-05-2020,30-04-2020,NAA8,92271.69,0-15
170,U001,200769623,WAL-MAR in,25:29.4,2020,1930662779,18-03-2020,02-04-2020,18-03-2020,NAH4,35023.47,0-15
171,U001,200020431,DEC systems,07:57.1,2020,1930599834,04-03-2020,24-03-2020,01-03-2020,NAM4,4551.58,Less than 0
172,U001,200726979,BJ'S  ,02:00.0,2020,1930730591,01-04-2020,16-04-2020,01-04-2020,NAA8,261.84,0-15
173,U001,200769623,WAL-MAR foundation,28:59.6,2020,1930652678,15-03-2020,30-03-2020,15-03-2020,NAH4,33837.66,0-15
174,U001,200729942,SA ,37:45.2,2020,1930798198,17-04-2020,02-05-2020,17-04-2020,NAA8,11696.53,0-15
175,U001,200705742,DOT systems,13:38.5,2020,1930810367,23-04-2020,08-05-2020,23-04-2020,NAA8,8115.04,0-15
176,U001,200777735,NASH  co,40:57.1,2020,1930670844,18-03-2020,02-04-2020,18-03-2020,NAA8,152067.79,0-15
177,U001,200020431,DEC us,38:01.9,2020,1930617742,07-03-2020,24-03-2020,01-03-2020,NAM4,3117.84,Less than 0
178,U001,200769623,WAL-MAR corp,40:46.6,2020,1930748572,06-04-2020,21-04-2020,06-04-2020,NAH4,1898.2,0-15
179,U001,200759878,SA systems,17:49.2,2020,1930655535,16-03-2020,31-03-2020,16-03-2020,NAH4,17060.17,0-15
180,U001,100004536,BAS ,46:17.4,2020,1930765834,14-04-2020,29-04-2020,14-04-2020,NAA8,3745.49,0-15
181,U001,200769623,WAL-MAR corporation,38:31.2,2020,1930882579,11-05-2020,26-05-2020,11-05-2020,NAH4,9163.34,0-15
182,CA02,140104409,LOB in,07:58.4,2020,2960624271,26-03-2020,07-04-2020,28-03-2020,CA10,166894.252,0-15
183,U001,200744019,TARG co,31:51.4,2020,1930652649,16-03-2020,31-03-2020,16-03-2020,NAA8,1183.45,0-15
184,U001,200769623,WAL-MAR systems,31:47.4,2020,1930803693,23-04-2020,08-05-2020,23-04-2020,NAH4,53859.97,16-30
185,CA02,140104423,METRO  corp,43:57.0,2020,2960624752,01-04-2020,11-04-2020,01-04-2020,CA10,32025.364,0-15
186,U001,200707822,PUBLI foundation,13:58.4,2020,1930801025,18-04-2020,03-05-2020,18-04-2020,NAA8,61394.52,0-15
187,U001,200782669,SYGMA systems,42:16.2,2020,1930617473,09-03-2020,24-03-2020,09-03-2020,NAA8,23298.58,0-15
188,U001,200705742,DOT corporation,25:00.6,2020,1930660872,17-03-2020,20-04-2020,17-03-2020,NAAW,4041.99,Less than 0
189,U001,200769623,WAL-MAR corp,11:50.3,2020,1930676006,21-03-2020,05-04-2020,21-03-2020,NAH4,14666.28,0-15
190,U001,200780383,MEIJ foundation,22:36.9,2020,1930860645,06-05-2020,21-05-2020,06-05-2020,NAA8,108570.13,0-15
191,U001,100031704,DELHAIZE trust,17:20.5,2020,1930796146,17-04-2020,21-06-2020,17-04-2020,NAGD,16196.66,0-15
192,U001,200561861,CO llc,41:38.7,2020,1930774237,10-04-2020,25-04-2020,10-04-2020,NAA8,23448.25,0-15
193,U001,200761734,H E BUT systems,30:14.1,2020,1930701257,26-03-2020,10-04-2020,26-03-2020,NAA8,83095.78,0-15
194,U001,200769623,WAL-MAR co,56:23.6,2020,1930724889,01-04-2020,16-04-2020,01-04-2020,NAH4,5801.67,0-15
195,U001,200769623,WAL-MAR us,26:31.6,2020,1930677295,22-03-2020,06-04-2020,22-03-2020,NAH4,11515.66,0-15
196,U001,200900909,SYSCO in,34:41.6,2020,1930623159,09-03-2020,24-03-2020,09-03-2020,NAA8,42647.01,0-15
197,U001,200769623,WAL-MAR systems,35:27.3,2020,1930719358,30-03-2020,14-04-2020,30-03-2020,NAH4,24504.26,0-15
198,U001,200353024,DECA corporation,33:11.1,2020,1930875691,08-05-2020,24-05-2020,01-05-2020,NAM4,889.08,Less than 0
199,U001,200762950,HAR trust,21:23.3,2020,1930671888,21-03-2020,05-04-2020,21-03-2020,NAA8,173239.52,0-15
200,U001,200561861,CO us,42:38.1,2020,1930764482,15-04-2020,30-04-2020,15-04-2020,NAA8,30316.62,0-15
201,U001,200744019,TARG in,59:00.6,2020,1930647824,13-03-2020,28-03-2020,13-03-2020,NAA8,17408.37,0-15
202,U001,200418007,AM foundation,52:58.1,2020,1930630519,13-03-2020,28-03-2020,13-03-2020,NAA8,840.67,0-15
203,U001,200762301,C&S WH trust,37:03.0,2020,1930805217,22-04-2020,07-05-2020,22-04-2020,NAC6,56261.98,Less than 0
204,U001,200772670,ASSOCIAT in,40:47.8,2020,1930723923,31-03-2020,15-04-2020,31-03-2020,NAU5,1655.46,0-15
205,U001,200769623,WAL-MAR trust,36:16.4,2020,1930683228,21-03-2020,05-04-2020,21-03-2020,NAH4,41629.12,0-15
206,U001,200744019,TARG corporation,24:26.3,2020,1930730322,01-04-2020,16-04-2020,01-04-2020,NAA8,54651.53,0-15
207,U001,100047382,PETER  corporation,57:11.0,2020,1930637647,13-03-2020,28-03-2020,13-03-2020,NAA8,17733.56,16-30
208,U001,CCU002,KRFT FDS associates,32:40.4,2020,1930637979,13-03-2020,17-04-2020,13-03-2020,NAG2,10648.32,0-15
209,U001,200762301,C&S WH ,48:25.1,2020,1930747271,04-04-2020,19-04-2020,04-04-2020,NAC6,3939,0-15
